primaryName,originalTitle,birthYear,deathYear,primaryProfession
Kacper Lisowski,Tristan + Isolde,1972,0,director
Wolfgang Müller,Tristan + Isolde,1953,0,writer
Wolfgang Müller,Tristan + Isolde,1953,0,director
Lenka Wimmerová,Tristan + Isolde,1971,0,director
Lenka Wimmerová,Tristan + Isolde,1971,0,writer
Richard Coleman,White Noise,1962,0,director
Niall Johnson,White Noise,1965,0,writer
Niall Johnson,White Noise,1965,0,director
Mitchell Kosterman,White Noise,1958,0,director
Geoffrey Sax,White Noise,1949,0,director
Keegan Connor Tracy,White Noise,1971,0,director
Keegan Connor Tracy,White Noise,1971,0,writer
Hsun-Wei David Chang,White Noise,1976,0,director
Santiago Tabernero,Vida y color,1961,0,director
Santiago Tabernero,Vida y color,1961,0,writer
Paul Chowdhry,Colour Me Kubrick: A True...ish Story,1974,0,writer
Monroe Robertson,Colour Me Kubrick: A True...ish Story,1984,0,director
Mark Christopher,Pizza,1963,0,writer
Mark Christopher,Pizza,1963,0,director
Kylie Sparks,Pizza,1987,0,writer
Andrew Merkelbach,Red,1982,0,director
Andrew Merkelbach,Red,1982,0,writer
Juan Pablo Di Pace,Three,1979,0,writer
Raúl Gómez,A-List,1953,0,writer
Steve Hart,A-List,1972,0,writer
Jean-Marc Lofficier,Adventures Into Digital Comics,1954,0,writer
Barry Windsor-Smith,Adventures Into Digital Comics,1949,0,writer
Sébastien Dumesnil,Adventures Into Digital Comics,1975,0,director
Sébastien Dumesnil,Adventures Into Digital Comics,1975,0,writer
Peter Bagge,Adventures Into Digital Comics,1957,0,writer
Kazu Kibuishi,Adventures Into Digital Comics,1978,0,writer
Mike Wieringo,Adventures Into Digital Comics,1963,2007,writer
Sal Buscema,Adventures Into Digital Comics,1936,0,writer
Kurt Busiek,Adventures Into Digital Comics,1960,0,writer
Alex Ross,Adventures Into Digital Comics,1970,0,writer
Brent Anderson,Adventures Into Digital Comics,1955,0,writer
Ann Lu,Erosion,1972,0,director
Ann Lu,Erosion,1972,0,writer
John Stockwell,Into the Blue,1961,0,director
John Stockwell,Into the Blue,1961,0,writer
Shane Hurlbut,Into the Blue,1964,0,director
Juan Carlos Vargas,Into the Blue,1968,0,writer
Juan Carlos Vargas,Into the Blue,1968,0,director
Michael J. Walsh,Into the Blue,1966,0,director
Peymon Maskan,Into the Blue,1976,0,director
Trick Daddy,Into the Blue,1973,0,writer
A.J. Lewis,Into the Blue,1977,0,writer
Ivan Rogers,The Payback Man,1954,2010,writer
Elana Krausz,Stripped Down,1960,0,director
Armando Gota,El Don,1940,0,director
Henry Herrera,El Don,1958,0,writer
Henry Herrera,El Don,1958,0,director
Juan David Restrepo,El Don,1979,0,writer
Keith Levizon,El Don,1981,0,writer
Jack N. Green,Serenity,1946,0,director
Chiwetel Ejiofor,Serenity,1977,0,director
Ron Glass,Serenity,1945,2016,director
Colin Patrick Lynch,Serenity,1968,0,writer
Colin Patrick Lynch,Serenity,1968,0,director
